Player,Shot,Point,Game,Set,bounce_x_std,bounce_y_std,hit_x_std,hit_y_std,hit_z,Speed (MPH),Type,Stroke,Spin,Bounce Depth,Bounce Zone,Hit Zone,Result,Winner,Hit Depth,Direction,Hit Side,Bounce (x),Bounce (y),Hit (x),Hit (y)
Opponent,2,24,5,1,2.869203,2.101501,4.570312,0.006003,0.939941,48.321331,first_return,Forehand,Topspin,deep,deuce,deuce_alley,In,Opponent,deep,down the line,near,-2.869203,21.668499,4.570312,0.006003
Adi Bitton,3,24,5,1,3.318359,-0.34375,3.398438,-0.985663,1.613281,36.912365,serve_plus_one,Forehand,Topspin,out,deuce,deuce,Out,Adi Bitton,deep,cross court,far,3.318359,-0.34375,-3.398438,24.755663
Adi Bitton,1,25,5,1,-1.023674,6.399058,-0.650879,-0.095038,2.443359,69.860313,first_serve,Serve,Slice,short,ad,ad,In,Adi Bitton,deep,down the T,far,-1.023674,6.399058,0.650879,23.865038
Opponent,2,25,5,1,-1.60179,1.458745,-1.036133,-1.572122,1.148438,49.918243,first_return,Forehand,Flat,deep,ad,ad,In,Adi Bitton,out,inside out,near,1.60179,22.311255,-1.036133,-1.572122
Adi Bitton,3,25,5,1,-0.385874,3.346323,-1.463867,-1.251288,1.398438,51.383347,serve_plus_one,Backhand,Flat,deep,ad,ad,In,Adi Bitton,out,cross court,far,-0.385874,3.346323,1.463867,25.021288
Opponent,4,25,5,1,-0.363146,3.564598,-0.589844,-2.43931,1.005859,58.254089,return_plus_one,Backhand,Topspin,deep,ad,ad,In,Adi Bitton,out,cross court,near,0.363146,20.205402,-0.589844,-2.43931
Adi Bitton,5,25,5,1,-1.085669,2.690859,-0.61377,-0.751288,1.357422,63.218204,in_play,Backhand,Topspin,deep,ad,ad,In,Adi Bitton,deep,cross court,far,-1.085669,2.690859,0.61377,24.521288
Opponent,6,25,5,1,2.259701,2.324291,-0.949219,-2.681497,1.044922,59.765511,in_play,Backhand,Flat,deep,deuce,ad,In,Adi Bitton,out,down the line,near,-2.259701,21.445709,-0.949219,-2.681497
Adi Bitton,7,25,5,1,-0.334968,7.464818,2.371094,-0.423163,1.337891,42.825432,in_play,Forehand,Topspin,short,ad,deuce,In,Adi Bitton,deep,down the line,far,-0.334968,7.464818,-2.371094,24.193163
Opponent,8,25,5,1,2.839619,3.006626,0.425781,-0.595559,0.251465,39.553299,in_play,Backhand,Slice,deep,deuce,deuce,In,Adi Bitton,out,inside out,near,-2.839619,20.763374,0.425781,-0.595559
Adi Bitton,9,25,5,1,2.846457,4.500242,3.501953,-1.610663,1.164062,51.604973,in_play,Forehand,Topspin,deep,deuce,deuce,In,Adi Bitton,out,cross court,far,2.846457,4.500242,-3.501953,25.380663
Opponent,10,25,5,1,7.117695,-2.465128,4.140625,-1.533059,1.287109,44.418388,in_play,Forehand,Topspin,out,deuce_out,deuce_alley,Out,Opponent,out,down the line,near,-7.117695,26.235128,4.140625,-1.533059
Adi Bitton,1,26,5,1,3.467987,6.683903,1.487305,-0.251288,2.236328,64.18988,first_serve,Serve,Slice,short,deuce,deuce,In,Opponent,deep,out wide,far,3.467987,6.683903,-1.487305,24.021288
