Player,Shot,Point,Game,Set,Type,Stroke,Spin,Result,Winner,Bounce Depth,Bounce Zone,Bounce Side,Hit Depth,Hit Zone,Direction,Speed (MPH),Hit Side,Bounce (x),Bounce (y),bounce_x_std,bounce_y_std,Hit (x),Hit (y),Hit (z),hit_x_std,hit_y_std
Opponent,1,74,13,2,second_serve,Serve,Slice,Net,Nikol Mircheva,short,deuce_alley,near,deep,ad,out wide,32.438061,near,4.655961,6.82876,-4.655961,16.94124,-0.951172,0.466941,2.402344,0.466941,0.466941
Nikol Mircheva,1,75,14,2,first_serve,Serve,Slice,In,Nikol Mircheva,short,deuce,far,deep,deuce,out wide,84.875671,near,-3.438611,18.143003,3.438611,5.626997,0.666016,1.240378,2.228516,1.240378,1.240378
Opponent,2,75,14,2,first_return,Forehand,Slice,In,Nikol Mircheva,deep,deuce,near,deep,deuce_alley,down the line,36.323517,far,1.814277,3.116117,1.814277,3.116117,-5.136719,23.927538,1.12207,5.136719,-0.157538
Nikol Mircheva,3,75,14,2,serve_plus_one,Forehand,Flat,In,Nikol Mircheva,deep,deuce,far,deep,deuce,cross court,57.087334,near,-2.414904,19.867838,2.414904,3.902162,2.234375,-0.236184,1.080078,-0.236184,-0.236184
Opponent,4,75,14,2,return_plus_one,Forehand,Topspin,In,Nikol Mircheva,deep,ad,near,out,deuce,down the line,55.850929,far,-1.513894,0.374476,-1.513894,0.374476,-3.767578,25.552538,1.232422,3.767578,-1.782538
Nikol Mircheva,5,75,14,2,in_play,Backhand,Flat,In,Nikol Mircheva,short,deuce,far,deep,ad,down the line,57.680065,near,-0.609375,16.96875,0.609375,6.80125,-1.432617,-0.439309,0.77832,-0.439309,-0.439309
Opponent,6,75,14,2,in_play,Volley,Flat,In,Nikol Mircheva,deep,deuce,near,short,deuce,cross court,25.114799,far,0.271484,5.195312,0.271484,5.195312,-0.609375,18.177538,0.962891,0.609375,5.592462
Nikol Mircheva,7,75,14,2,in_play,Volley,Flat,Net,Nikol Mircheva,deep,deuce,near,deep,deuce,cross court,19.052607,near,0.321777,3.445312,-0.321777,20.324688,0.271484,4.670065,1.068359,4.670065,4.670065
Nikol Mircheva,8,75,14,2,in_play,Forehand,Topspin,In,Nikol Mircheva,short,ad,far,deep,deuce,down the line,55.271374,near,2.412109,12.132812,-2.412109,11.637188,0.41748,0.256003,0.9375,0.256003,0.256003
Nikol Mircheva,1,76,14,2,first_serve,Serve,Flat,Out,Opponent,deep,ad,far,deep,ad,out wide,66.376419,near,4.092315,18.314157,-4.092315,5.455843,-1.000977,0.615378,2.210938,0.615378,0.615378
